scope,true_label,proposed_direction,hr_primary_cause,n
all,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,67094
all,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,40891
all,0,EXCLUDE,exclude_blocked_by_exclude_certainty,14729
all,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,4101
all,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,3461
all,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,3285
all,0,INCLUDE,include_blocked_by_low_ecs,674
all,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,578
all,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,330
all,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,295
all,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,274
all,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin_or_possible_eas_widened_margin,251
all,1,EXCLUDE,exclude_blocked_by_exclude_certainty,70
all,1,INCLUDE,include_blocked_by_low_ecs,61
all,1,INCLUDE,include_blocked_by_eas_or_margin_unobserved,45
all,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_near_tie_even_min_margin,40
all,1,EXCLUDE,exclude_blocked_by_inclusion_ecs,24
all,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_near_tie_even_min_margin,22
all,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_near_tie_even_min_margin,1
all,0,INCLUDE,include_blocked_by_low_ecs_or_near_tie_even_min_margin,1
all,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_near_tie_even_min_margin,1
other,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,47928
other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,32915
external,0,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,19166
external,0,EXCLUDE,exclude_blocked_by_exclude_certainty,8285
external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,7976
other,0,EXCLUDE,exclude_blocked_by_exclude_certainty,6444
external,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,2686
other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,2489
external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,2287
external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,1612
other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs,998
other,0,INCLUDE,include_blocked_by_eas_or_margin_unobserved,775
external,0,INCLUDE,include_blocked_by_low_ecs,674
other,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,333
external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin,295
external,0,EXCLUDE,exclude_blocked_by_two_model_eas_or_margin_or_possible_eas_widened_margin,251
external,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_possible_eas_widened_margin,245
other,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,244
other,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,214
external,1,INCLUDE,include_blocked_by_low_ecs_or_possible_eas_widened_margin,86
external,1,INCLUDE,include_blocked_by_low_ecs,61
external,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_possible_eas_widened_margin,60
external,1,EXCLUDE,exclude_blocked_by_exclude_certainty,44
external,1,INCLUDE,include_blocked_by_eas_or_margin_unobserved,38
other,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_near_tie_even_min_margin,36
other,1,EXCLUDE,exclude_blocked_by_exclude_certainty,26
other,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_near_tie_even_min_margin,17
external,1,EXCLUDE,exclude_blocked_by_inclusion_ecs,16
other,1,EXCLUDE,exclude_blocked_by_inclusion_ecs,8
other,1,INCLUDE,include_blocked_by_eas_or_margin_unobserved,7
external,0,EXCLUDE,exclude_blocked_by_exclude_certainty_or_near_tie_even_min_margin,5
external,0,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_near_tie_even_min_margin,4
other,1,EXCLUDE,exclude_blocked_by_exclude_certainty_or_near_tie_even_min_margin,1
other,0,INCLUDE,include_blocked_by_low_ecs_or_near_tie_even_min_margin,1
other,1,EXCLUDE,exclude_blocked_by_inclusion_ecs_or_near_tie_even_min_margin,1
