dataset,record_id,lexical_rank,n_total,lexical_rank_percentile,lexical_score,p_include
Sep_2021,https://openalex.org/W2947070139,70,271,0.25830258302583026,0.13663907969614075,nan
Muthu_2021,https://openalex.org/W2081494650,1554,2719,0.5715336520779698,0.02890536377085589,nan
Moran_2021,https://openalex.org/W2895967873,3665,5199,0.7049432583189075,-0.03156097478309637,0.0008099449291661308
Hall_2012,https://openalex.org/W2120484483,26,8793,0.0029568975321278288,0.31671886058375504,nan
Walker_2018,https://openalex.org/W1608428859,46555,48153,0.9668141133470396,-0.030143476051018414,0.0075320063254680145
Walker_2018,https://openalex.org/W2410803379,3379,48153,0.07017215957468902,0.04902894623152138,0.0075320063254680145
Walker_2018,https://openalex.org/W2078782991,45304,48153,0.9408344236080826,-0.023523514377897257,0.0075320063254680145
Walker_2018,https://openalex.org/W2592790518,47603,48153,0.9885780740556144,-0.04102112581289829,nan
Walker_2018,https://openalex.org/W2045641744,32936,48153,0.6839864598259714,-0.00013711855212047638,0.0075320063254680145
Walker_2018,https://openalex.org/W2133804211,37149,48153,0.7714784125599651,-0.005581607127941155,0.0075320063254680145
Walker_2018,https://openalex.org/W2095102047,77,48153,0.0015990696322139846,0.1338879989250743,0.007533315163773078
Walker_2018,https://openalex.org/W2001603328,532,48153,0.011048117458932985,0.0914409166454001,0.0075321517408103965
Walker_2018,https://openalex.org/W2395874879,11495,48153,0.23871825223765913,0.025391635964265247,0.0075320063254680145
Walker_2018,https://openalex.org/W2074008668,182,48153,0.0037796191306875998,0.11649959910071585,0.0075321517408103965
Walker_2018,https://openalex.org/W2005585761,2426,48153,0.050381076983780866,0.05583699954557921,0.007534333305023912
Walker_2018,https://openalex.org/W4253895676,47729,48153,0.9911947334537827,-0.043258976830634205,nan
Walker_2018,https://openalex.org/W2163858599,20189,48153,0.4192677507112745,0.013723105252268969,0.007532588003541521
Walker_2018,https://openalex.org/W2091325618,47267,48153,0.9816003156604989,-0.036360425863707115,0.0075320063254680145
Walker_2018,https://openalex.org/W2013197402,38552,48153,0.8006147072871888,-0.00764237886683148,0.0075320063254680145
Walker_2018,https://openalex.org/W2136130473,2635,48153,0.054721408842647395,0.05402399876861113,0.0075320063254680145
Walker_2018,https://openalex.org/W2161902597,2384,48153,0.04950885718439142,0.056156782944437614,0.007532588003541521
Walker_2018,https://openalex.org/W2093015813,17739,48153,0.36838826241355677,0.016608932158101886,0.007543793988065841
