dataset,n,n_pos,n_neg,auc,pr_auc,spearman_lexical_p_include_hr
Donners_2021,195,4,191,0.8416230366492147,0.12730566534914362,0.1396442524124187
Sep_2021,204,15,189,0.6525573192239859,0.22165855117189207,-0.08910989647083928
Nelson_2002,186,10,176,0.7051136363636363,0.0935846556365763,0.27947160230860907
van_der_Valk_2021,662,53,609,0.8274312978281749,0.2896887868240595,0.2746750106942099
Meijboom_2021,831,30,801,0.8314190595089471,0.18077333234656429,-0.3156810688202714
Oud_2018,792,1,791,0.9823008849557522,0.06666666666666667,-0.17617995830909655
Menon_2022,886,25,861,0.6927293844367016,0.07184329148247301,0.06784254264285378
Jeyaraman_2020,1083,72,1011,0.733720738542697,0.1588796318905689,-0.21558374533136565
Chou_2004,937,7,930,0.6757296466973886,0.01615882609225174,-0.1403281980078971
Chou_2003,1805,7,1798,0.7638646114730653,0.20352219004388525,0.14675117551646236
van_der_Waal_2022,1387,6,1381,0.9551049963794352,0.11326121392859104,-0.23679005668956782
Smid_2020,1870,3,1867,0.7268344938403857,0.01069702346355043,0.18434898574430927
Muthu_2021,2665,329,2336,0.6997985801723778,0.23235535972200527,-0.4985613953223066
Appenzeller-Herzog_2019,2677,14,2663,0.7758167480285392,0.015844251107500467,0.3522353853447925
Wolters_2018,4109,12,4097,0.856073549751851,0.01787192215618581,0.14363041344189223
van_de_Schoot_2018,4527,38,4489,0.9062972646586392,0.10340910052939123,-0.2640748747321792
Bos_2018,3014,2,3012,0.6990371845949536,0.0016615880586468824,-0.07966600419644056
Moran_2021,5131,110,5021,0.42499139975738265,0.01884434641855727,0.1994706383925699
Leenaars_2019,5684,17,5667,0.995489884678064,0.5007915980716605,0.28743162388663285
Radjenovic_2013,3391,0,3391,,,0.143842226779243
Leenaars_2020,6214,302,5912,0.827200149656328,0.20768653123536826,-0.26668642549948696
Wassenaar_2017,7582,95,7487,0.6995620479005715,0.07675085727674727,0.1428894454870095
Hall_2012,2212,7,2205,0.7263362487852283,0.058266560237798186,0.04541695764390512
van_Dis_2020,8750,39,8711,0.8395780165955805,0.05459825367326432,-0.39713207226481695
Brouwer_2019,37311,26,37285,0.9463230212190921,0.08450836460054684,0.16538290718114274
Walker_2018,38257,554,37703,0.6810627112092412,0.06255341449144125,0.19759465131168738
